Label,Description
Environmental Concern,"Brake pad dust can be more toxic than exhaust emissions, study says"
Environmental Benefit,"EVs and datacentres driving new global ‘age of electricity’, says watchdog"
Economic Challenge,EV drivers spend extra £85m on VAT when using public chargers
Economic Challenge,UK used electric vehicle sales hit record last year as prices fell
Environmental Benefit,Promoting green growth does not make you an ‘eco-nutter’. It’s the only way forward
Economic Challenge,Trump administration suspends $5bn electric vehicle charging program
Environmental Benefit,Elon Musk’s journey from climate champion to backing EV-bashing Trump
Environmental Benefit,"Bradford clean air zone saves NHS over £30,000 a month in first year"
Economic Challenge,UK reportedly planning electric car loan subsidies to push sales
Economic Challenge,"How Trump tariffs could upend car markets in Europe, the US and China"
Environmental Benefit,"Electric cars in UK last as long as petrol and diesel vehicles, study finds"
Economic Challenge,Explained: how Trump’s day one orders reveal a White House for big oil
Economic Challenge,Trump revokes Biden order that had set 50% electric vehicles target for 2030
Environmental Concern,UK charging firm warns over changes to electric car sales amid ‘difficult’ market
Economic Challenge,All carmakers in UK to escape fines for missing electric car sales targets in 2024
Environmental Benefit,Amazon makes ‘largest ever’ UK order of electric trucks to cut carbon emissions
Economic Challenge,Warmer homes and healthier people: what’s not to like about a low-carbon future?
Environmental Concern,How to make the heat-pump transition take off
Economic Challenge,Elon Musk’s Tesla has received almost £200m in UK grants since 2016
Economic Advantage,Record number of electric cars were sold in UK during 2024
Environmental Concern,Early phase-out of full hybrid vehicles may be a political risk too far for UK ministers
Environmental Concern,Starmer faces test of climate leadership with big decisions on carbon budget
Economic Challenge,"Disparities in EV charging provision risk drop-off in UK transition, study warns"
Economic Challenge,"UK public electric car chargers rose by a third in 2024 to more than 70,000"
Environmental Concern,BYD construction site in Brazil shut over ‘slavery-like’ conditions
Economic Challenge,UK car industry hails plan for Prius-style hybrids to stay on sale after 2030
Environmental Benefit,The Guardian view on Britain’s spluttering EV market: a recharge is needed
Environmental Benefit,Make better use of neighbourhood EV charging
Economic Challenge,Tesla sales in Australia are sliding for the first time. Is it stiff competition or the Musk factor?
Environmental Benefit,Chargers are key to the electric vehicle transition
Economic Advantage,China’s share of global electric car market rises to 76%
Environmental Benefit,Jaguar boss says it has shown ‘fearless creativity’ with new electric car
Environmental Benefit,"Cheaper loans on table to urge UK motorists to EVs, plus cuts in fines for firms"
Economic Advantage,"If we delay the UK’s drive for electric vehicles, our rivals will overtake us"
Environmental Benefit,UK could loosen EV rules to allow sales of Prius-style hybrids until 2035
Economic Advantage,Starmer has discovered a tricky truth about the electric vehicles transition: there’s no gain without pain
Environmental Benefit,Vauxhall owner was ‘confident’ about meeting EV rules before factory shutdown
Environmental Concern,Electric shock: carmakers battle strict UK electric car rules as big fines loom
Economic Challenge,"Don’t waver on electric car targets, big UK businesses tell Labour"
Economic Challenge,Trump transition team plans to kill Biden’s electric vehicle tax credit
Environmental Concern,Britons need greener travel options to meet net zero target
Economic Advantage,The 10 best electric cars to buy if you want to avoid Tesla
Economic Advantage,Electric car sales grow in UK despite decline in overall vehicle market
Economic Challenge,Volvo Cars to buy out Northvolt from jointly owned gigafactory in Sweden
Economic Challenge,"Bring in pay-per-mile road pricing across UK, urges Tony Blair’s thinktank"
Economic Challenge,Project to build German EV microchip factory put on hold
Economic Challenge,BMW chief says EU combustion engine ban will shrink car industry
Economic Challenge,Vauxhall owner to make decision on future of UK plants ‘in next few weeks’
Environmental Benefit,"Go-Ahead transport group orders 1,200 ‘green buses’ from Wrightbus"
Environmental Concern,Ocado and AA join growing revolt against London congestion charge for electric vans
Economic Challenge,EU leaders back extra Chinese EV tariffs despite split vote
Environmental Benefit,Jaguar Land Rover to invest £500m in Halewood car plant
Economic Challenge,"Batterymaker Northvolt to cut 1,600 jobs amid electric car ‘headwinds’"
Environmental Concern,Car industry calls for shift in EU emissions targets amid slowing EV sales
Environmental Benefit,Norway: electric cars outnumber petrol for first time in ‘historic milestone’
Environmental Concern,‘Democrats are losing’: a battle on EVs could cost Kamala Harris votes in Michigan
Environmental Benefit,How to buy an electric car – a guide
Economic Challenge,Two UK firms join forces to build ‘last-mile’ electric delivery vehicles
Environmental Concern,"UK electric car drivers should be charged per mile, say campaigners"
Environmental Benefit,Upcycling a black cab or bin lorry: growing industry converts old vehicles to electric
Environmental Benefit,Hyundai to double hybrid range as demand for ‘pure’ electric cars slows
Environmental Concern,Electric vehicle public charging ‘deserts’ revealed across Great Britain
Economic Advantage,‘Spectacular bargains’: why now is a great time to buy a used electric car in the UK
Environmental Concern,Activist opposed to Rio Tinto lithium mine receives anonymous death threats
Environmental Benefit,"About 500,000 trees cut down at site of Tesla gigafactory near Berlin"
Economic Challenge,Ford writes off $1.9bn as it cancels plans for all-electric large SUV in US
Economic Challenge,‘His rhetoric has made Tesla toxic’: is Elon Musk driving away his target market?
Economic Challenge,Trump says he has ‘no choice’ but to back EVs after Musk endorsement
Environmental Concern,UK carmakers say they may miss government targets on EV sales
Economic Challenge,Chinese firms win record 11% EV share in Europe as buyers rush to beat tariffs
Economic Challenge,"‘High quality, low price and dizzying variety’: how the Chinese switched to electric cars"
Environmental Benefit,"UK has almost 1m EV chargers, with new public one installed every 25 minutes"
Economic Challenge,UK haulage industry calls for investment in electric truck infrastructure
Environmental Concern,It doesn’t make sense: why US tariffs on Chinese cleantech risk the green transition 
Environmental Concern,Carbon emissions from vans still rising as UK drivers cling to diesel
Economic Challenge,EU to put tariffs of up to 38% on Chinese electric vehicles as trade war looms
Environmental Benefit,"Investment in clean energy likely to be double figure for fossil fuels in 2024, IEA says"
Environmental Concern,"‘Yes, Lego car!’: why small electric cars could be about to break the grip of SUVs"
Economic Challenge,Price driven: electric cars have never been cheaper. Is it now time to buy an EV?
Economic Advantage,Jeff Dodds: the Formula E boss planning a move into pole position
Environmental Benefit,"Electric cars more likely to hit pedestrians than petrol vehicles, study finds"
Economic Challenge,Janet Yellen urges EU to join US in curbs on cheap Chinese exports
Environmental Concern,When smart meters save money – and the overheating planet
Environmental Concern,Don’t despair about the climate. Be part of the social tipping point 
Environmental Benefit,The China-linked EV battery mega factory dividing a US township
Environmental Benefit,Vauxhall owner to sell cheap Chinese EVs in UK and mainland Europe
Economic Challenge,Biden announces 100% tariff on Chinese-made electric vehicles
Environmental Benefit,UK installs record number of public electric vehicle chargers
Environmental Concern,UN-led panel aims to tackle abuses linked to mining for ‘critical minerals’ 
Economic Challenge,Tesla among electric carmakers forced to cut prices as market stalls
Economic Challenge,"Global battery rollout doubled last year – but needs to be six times faster, says IEA"
Environmental Concern,"Net zero has become unhelpful slogan, says outgoing head of UK climate watchdog"
Economic Challenge,What the Cybertruck’s many failures mean for Tesla
Environmental Benefit,Australians choose hybrids over EVs as sales of conventional cars decline
Environmental Concern,Boom in mining for renewable energy minerals threatens Africa’s great apes
Environmental Concern,"Lease electric cars to rural care workers, UK climate charity says"
Economic Challenge,Nissan to cut cost of making electric cars by nearly a third by 2030 
Environmental Concern,"Are electric cars too heavy for roads, bridges and car parks?"
Economic Challenge,"How did Norway become the electric car superpower? Oil money, civil disobedience – and Morten from a-ha"
