Label,Sublabel,Title,Description
General Pro,benefits of electric vehicles,Hear E-Prix Champion di Grassi on the future of electric motor sports (including scooters),"Lucas di Grassi is returning to TechCrunch’s stage, and we’re going to talk racing electric vehicles. Again. Because electric is the future of motoring including motorsports. There’s a lot to talk about with di Grassi. He’s an outspoken proponent of electric …"
General Pro,benefits of electric vehicles,UPS is working on a fleet of 50 custom-built electric delivery trucks,"UPS will work with partner Workhorse, a battery-electric transportation technology company, to develop and deploy a fleet of 50 custom-built plug-in electric delivery trucks with zero emissions. The goal is to make trucks that cost as much to buy as do tradit…"
General Pro,benefits of electric vehicles,"EV charging solutions will become an asset, not a liability, to the grid","Although wireless charging is still relatively new to the market, the benefits are beginning to become glaringly self-evident."
General Pro,benefits of electric vehicles,Toyota to bring three new electrified vehicles to U.S. market,"Toyota Motor North America said Wednesday it will bring three new electrified vehicles to the U.S. market, as the automaker seeks to win over customers by offering a variety of lower emission and zero-emission cars and SUVs. Two of the new vehicles will be al…"
General Pro,benefits of electric vehicles,Trump’s war on electric cars has only just begun,"Donald Trump is targeting the auto industry’s shift to electric vehicles, but his success will depend on Congress’ willingness to axe popular incentives."
General Pro,benefits of electric vehicles,Nissan and EVgo to add 200 fast chargers as more electric vehicles hit U.S. roads,"Nissan and EVgo said Tuesday they will install another 200 DC fast chargers in the United States to support the growing number of consumers who are buying electric vehicles, including the new Nissan Leaf e+ that came to market earlier this year. The 100 kilow…"
General Pro,benefits of electric vehicles,GM pledges to be carbon neutral by 2040 with zero tailpipe emission vehicles by 2035,General Motors has announced plans to be carbon neutral by 2040 — removing emissions from all of its products and global operations or offsetting those emissions through carbon credits or carbon capture within the next two decades. The company also committed …
General Pro,benefits of electric vehicles,"New York City votes to block new licenses for electric taxis, snubbing Revel’s Tesla plans","New York City’s Taxi and Limousine Commission voted to stop issuing for-hire vehicle licenses to electric vehicles, blocking moped company Revel’s plan to launch a fleet of Tesla taxis. The agency argued it wants to prevent congestion."
General Pro,benefits of electric vehicles,Porsche and Yamaha invest $3.75M in e-micromobility dealership Ridepanda,"Online electric micromobility dealership Ridepanda has announced a raise of $3.75 million that the startup will use to build out its engineering, product and design teams to boost its e-commerce and B2B solutions. The company also wants to double down on stra…"
General Pro,benefits of electric vehicles,Flying taxis could be more efficient than gas and electric cars on long-distance trips,"Flying cars definitely sound cool, but whether they're actually a good idea is up for debate. Fortunately they do seem to have some surefire benefits, among which you can now count improved efficiency — in theory, and on long trips. But it's something!"
General Pro,benefits of electric vehicles,Pure Watercraft ramps up its electric outboard motors with a $23M series A,"Electric power only started making sense for land vehicles about ten years ago, but now the technology is ready to make the jump into the water. Pure Watercraft hopes that its electric outboard motor can replace a normal gas one for most boating needs under 5…"
General Pro,benefits of electric vehicles,Canoo takes the covers off of its debut electric vehicle,"The Los Angeles-based startup Canoo has finally unveiled its first model, the eponymously named canoo. The Canoo designers have departed pretty radically from the traditional designs that other electric vehicle manufacturers have favored going with something …"
General Pro,benefits of electric vehicles,Redwood Materials is setting up shop near the Tesla Gigafactory as part of broader expansion,"Redwood Materials, the battery recycling startup founded by former Tesla CTO JB Straubel, has purchased 100 acres of land near the Gigafactory that Panasonic operates with Tesla in Sparks, Nevada as part of an expansion plan that aligns with the Biden Adminis…"
General Pro,benefits of electric vehicles,"All-electric Mini Cooper SE priced starting at $29,900 in the U.S.","The new all-electric Mini Cooper SE, the first Mini designed from the ground up as an electric car, is going to retail in the U.S. starting at $29,900 (plus an $850 Destination and Handling fee) – before any tax incentives are applied. That puts final pricing…"
General Pro,benefits of electric vehicles,An inside look at Rivian’s EV ambitions from AI batteries to electric jet skis,"For a CEO who insists his electric vehicle startup doesn’t want to be Tesla, Rivian founder RJ Scaringe can sound a lot like Elon Musk. Just weeks before unveiling Rivian’s first vehicles — an all-electric pickup and a seven-seater SUV — at the LA Auto Show l…"
General Pro,benefits of electric vehicles,"Hellobike, survivor of China’s bike-sharing craze, goes electric","Just two years ago, investors were heavily pouring money into China’s dockless bike-sharing startups. Now that boom has busted with derelict bikes littering the streets of cities. Meanwhile, a new race has started for two-wheelers with motors — and one of the…"
General Pro,benefits of electric vehicles,EnerVenue raises $100M to accelerate clean energy using nickel-hydrogen batteries,"In order to support a buildout of renewable energy, which tends to over-generate electricity at certain times of day and under-generate at others, the grid is going to need a lot of batteries. While lithium-ion works fine for consumer electronics and even ele…"
General Pro,benefits of electric vehicles,Bird lays off up to 5% of workforce,"Electric scooter startup Bird has laid off between four to five percent of its workforce, The Information first reported. That comes out to about 40 people of its ~900-employee workforce. This comes shortly after Lyft laid off up to 50 employees in its bikes …"
General Pro,benefits of electric vehicles,Tesla partner Panasonic is shutting down its operations at Nevada gigafactory,"Panasonic is pulling its 3,500 employees from the massive Nevada factory it operates with partner Tesla over concerns about the spread of COVID-19. The company said Friday it will ramp down operations early next week and then close for 14 days. The move only …"
General Pro,benefits of electric vehicles,Vaya Africa launches electric ride-hail taxi network,"Vaya Africa, a ride-hail mobility venture founded by Zimbabwean mogul Strive Masiyiwa, has launched an electric taxi service and charging network in Zimbabwe with plans to expand across the continent. The South Africa headquartered company has acquired a flee…"
General Pro,benefits of electric vehicles,Zimbabwe’s government faces off against its tech community over internet restrictions,"Jake Bright Contributor Jake Bright is a writer and author in New York City. He is co-author of The Next Africa. More posts by this contributor Harley Davidson reveals more about its push into electric vehicles Venture capital, global expansion, blockchain an…"
General Pro,benefits of electric vehicles,Squad Mobility eyes shared platforms as target for its compact solar electric quadricycle,"Squad Mobility’s vision of the perfect urban vehicle is a low-cost EV equipped with solar panels, swappable batteries and enough zip and range in its diminutive 6.5-foot package to meet the needs of city drivers. The early stage Dutch startup, which recently …"
General Pro,benefits of electric vehicles,This is Uber’s plan to deliver on flying ‘cars’,"elf-driving and electric flying cars are coming. What this means for our cities in the future is unclear, so I chatted with Uber Head of Policy of Autonomous Vehicles and Urban Aviation Justin Erlich to learn more. Erlich previously worked under Attorney Gene…"
General Pro,benefits of electric vehicles,Auto workers’ strike pushes GM losses past $1 billion,"The workers strike against General Motors — now in its third week — has cost the automaker more than $1 billion during the third quarter, according to a research note from J.P. Morgan analyst Ryan Brickman. And those losses are accelerating with each passing …"
General Pro,benefits of electric vehicles,Microsoft invests in Cruise in new $2 billion round,"Cruise has raised $2 billion in a new equity round that has pushed its valuation up to $30 billion and delivered Microsoft as a cloud computing partner and investor. GM, Honda and other institutional investors have also put more capital into Cruise as the aut…"
General Pro,benefits of electric vehicles,General Motors and AT&T will offer 5G connectivity in certain vehicles from model year 2024,"General Motors and AT&T will be rolling out 5G connectivity in select Chevy, Cadillac and GMC vehicles from model year 2024, in a boost that the two companies say will bring more reliable software updates, faster navigation and downloads, and better coverage …"
General Pro,benefits of electric vehicles,China now accounts for nearly one-quarter of Tesla revenue,"Tesla has been counting on China to maintain its sales momentum, and it seems to be on track with the plan. In the three months ended June 30, the automaker’s revenue in China climbed 102.9% year-over-year to $1.4 billion, according to its latest SEC filing. …"
General Pro,benefits of electric vehicles,"Hyundai Motor Group unveils its hydrogen strategy, plans to offer fuel cell versions of commercial cars by 2028","Hyundai Motor Group is backing hydrogen as a top energy solution for sustainability. With its new fuel cell system that it plans to launch in the next few years, the South Korean automaker said it will provide hydrogen fuel cell versions for all its commercia…"
General Pro,benefits of electric vehicles,EV makers oppose delay to automotive emissions penalty increase,Electric vehicle manufacturers are pushing back against a decision to delay penalty increases for automakers who fail to meet fuel efficiency standards. A lobbying group representing legacy automakers – many of whom are now making substantial investments in z…
General Pro,benefits of electric vehicles,"Lime revamps its app to include competitors, starting with Wheels ebikes","Lime might best known for its bright green micromobility devices, or more recently, its ownership of the iconic red Jump electric bikes. But now, the company is expanding in a way that could see it “housing” numerous other micromobility brands on its own app.…"
General Pro,benefits of electric vehicles,"Lyft, Aptiv and the National Federation of the Blind partner on self-driving for low vision riders","Lyft and Aptiv are already running autonomous driving trials in Las Vegas, and now they’re expanding that limited pilot to include low vision and blind riders in a new partnership with the National Federation of the Blind. In a blog post dealing the news, Lyf…"
General Pro,benefits of electric vehicles,Fisker invests in EV charging network Allego’s SPAC merger,Fisker is investing $10 million in private-investment-in-public equity (PIPE) funding for the merger of Allego and special purpose acquisition company Spartan Acquisition Corp III.
General Pro,benefits of electric vehicles,"Ford unveils the F-150 Lightning, its all-electric pickup truck that will start under $40,000","The Ford F-150, the profitable cornerstone of the U.S. automaker’s business, now has an all-electric sibling. Ford unveiled Wednesday the F-150 Lightning, an all-electric pickup truck that is a critical piece of the company’s $22 billion investment into elect…"
